distrito,listas,listas encabezadas por mujeres,listas competitivas encabezadas por mujeres
caba,14,3,1
chaco,10,1,0
entre rios,7,2,1
neuquen,8,3,3
rio negro,7,3,1
salta,8,3,1
santiago del estero,5,0,2
tierra del fuego aias,7,1,1
