distrito,listas,listas encabezadas por mujeres,listas competitivas encabezadas por mujeres
buenos aires,14,2,0
caba,14,1,1
catamarca,6,2,0
chaco,10,3,1
chubut,7,2,2
cordoba,16,3,1
corrientes,5,1,1
entre rios,7,2,1
formosa,4,1,1
jujuy,7,3,2
la pampa,5,2,0
la rioja,6,2,1
mendoza,7,2,0
misiones,8,3,1
neuquen,9,5,2
rio negro,7,3,2
salta,8,4,2
san juan,10,1,0
san luis,4,1,1
santa cruz,8,1,0
santa fe,14,5,2
santiago del estero,7,3,0
tierra del fuego aias,8,2,0
tucuman,8,3,1
